name,is_private,num_apps,perc_accept,perc_top10,num_fulltime,perc_fulltime,cost_tuition,cost_room_board,perc_terminal,ratio_student_faculty,perc_alumni,cost_expenditure,perc_graduate
University of Southern Indiana,0,2379,89,8,4283,59,4973,3192,65,22.0,21,4078,38
University of Southern Mississippi,0,2850,71,20,9260,86,4652,2470,99,18.7,23,5917,45
University of St. Thomas MN,1,2057,87,26,4106,80,11712,4037,80,13.8,13,8546,89
University of St. Thomas TX,1,374,74,45,995,70,8550,4050,75,12.6,17,7237,62
University of Tennessee at Knoxville,0,7473,71,27,15749,82,5764,3262,92,16.5,22,8612,53
University of Texas at Arlington,0,3281,77,19,10975,56,4422,2780,73,21.0,4,4696,29
University of Texas at Austin,0,14752,64,48,30017,85,5130,3309,99,19.7,11,7837,65
University of Texas at San Antonio,0,4217,73,17,9375,63,4104,5376,100,25.3,3,4329,50
University of the Arts,1,974,72,5,1145,96,12520,3860,59,7.5,9,11641,57
University of the Pacific,1,2459,81,36,2664,89,16320,5326,94,11.2,14,13706,65
University of the South,1,1445,66,46,1129,97,15350,4080,93,10.3,52,18784,82
University of Tulsa,1,1712,90,41,2936,87,11750,4160,96,11.5,10,11743,47
University of Utah,0,5095,88,27,13894,62,6857,3975,93,12.8,9,9275,37
University of Vermont,0,7663,78,18,7353,81,15516,4928,90,9.9,10,12646,79
University of Virginia,0,15849,33,74,11278,98,12212,3792,92,9.5,22,13597,95
University of Washington,0,12749,55,40,20356,81,8199,4218,94,9.0,10,16527,65
University of West Florida,0,1558,80,20,3754,60,6172,3994,87,23.4,12,8488,53
University of Wisconsin-Stout,0,2593,75,9,6038,91,6704,2592,78,21.0,17,6254,65
University of Wisconsin-Superior,0,910,100,14,1434,77,7032,2780,81,15.2,15,6490,36
University of Wisconsin-Whitewater,0,4400,84,12,7804,83,6950,2500,95,23.1,16,5559,67
University of Wisconsin at Green Bay,0,2409,80,17,3819,73,6900,2800,89,22.2,1,5968,46
University of Wisconsin at Madison,0,14901,73,36,23945,91,9096,4290,96,11.5,20,11006,72
University of Wisconsin at Milwaukee,0,5244,72,12,11561,60,8786,2964,87,15.9,8,8094,38
University of Wyoming,0,2029,74,23,7535,83,5988,3422,94,15.1,13,8745,45
Upper Iowa University,1,663,68,10,1481,56,8840,3060,75,17.4,19,3733,78
Ursinus College,1,1399,73,44,1131,98,14900,5160,85,11.6,40,12082,79
Ursuline College,1,325,80,21,699,49,9600,4202,69,10.5,15,7164,68
Valley City State University,0,368,93,5,863,82,4286,2570,41,14.9,25,4958,40
Valparaiso University,1,2075,83,49,2501,92,11800,3260,89,14.2,23,9681,95
Vanderbilt University,1,7791,60,71,5500,98,17865,6525,98,5.8,26,23850,83
Vassar College,1,3550,52,53,2164,96,18920,5950,98,9.7,39,17089,90
Villanova University,1,7759,72,30,6362,83,15925,6507,90,13.4,24,10458,96
Virginia Commonwealth University,0,4963,70,18,10262,66,10217,4182,87,8.7,11,11183,45
Virginia State University,0,2996,81,2,3006,89,5587,4845,63,16.0,11,5733,31
Virginia Tech,0,15712,74,29,18511,96,10260,3176,89,13.8,20,8944,73
Virginia Union University,1,1847,87,19,1298,95,7384,3494,67,13.7,8,6757,30
Virginia Wesleyan College,1,1470,61,20,1130,73,10900,5100,81,15.7,14,7804,68
Viterbo College,1,647,80,17,1014,72,9140,3365,65,10.7,31,8050,73
Voorhees College,1,1465,68,10,703,97,4450,2522,43,22.9,3,5861,58
Wabash College,1,800,77,41,801,99,12925,4195,85,9.9,55,14904,72
Wagner College,1,1416,71,10,1324,91,13500,5800,78,13.2,23,9006,75
Wake Forest University,1,5661,42,75,3499,95,13850,4360,97,4.3,37,41766,89
Walsh University,1,1092,81,27,847,63,8670,4180,58,11.3,33,5738,68
Warren Wilson College,1,440,70,25,466,98,10000,3052,75,11.4,20,9430,63
Wartburg College,1,1231,87,34,1295,92,11600,3610,91,12.4,37,7735,67
Washington and Jefferson College,1,1305,84,42,1098,87,16260,4005,91,12.1,40,10162,86
Washington and Lee University,1,3315,33,68,1584,99,13750,4619,96,9.6,45,15736,90
Washington College,1,1209,77,31,822,94,15276,5318,86,11.2,37,10830,65
Washington State University,0,6540,89,31,14445,91,8200,4210,87,16.9,30,10912,56
Washington University,1,7654,68,62,4879,79,18350,5775,98,3.9,31,45702,90
Wayne State College,0,1373,100,6,2754,85,2700,2660,68,20.3,29,4550,52
Waynesburg College,1,1190,82,12,1280,95,8840,3620,58,16.2,26,6563,63
Webber College,1,280,51,5,327,74,5590,2900,63,15.1,4,4839,90
Webster University,1,665,69,17,1739,52,9160,4340,68,20.6,14,6951,48
Wellesley College,1,2895,43,80,2195,93,18345,5995,98,10.6,51,21409,91
Wells College,1,318,75,40,416,95,14900,5550,98,8.3,42,13935,69
Wentworth Institute of Technology,1,1480,84,6,2961,83,9850,6050,68,15.4,8,17858,64
Wesley College,1,980,82,10,872,66,9890,4674,57,14.4,15,6243,84
Wesleyan University,1,4772,41,60,2714,99,19130,5600,94,12.1,39,16262,92
West Chester University of Penn.,0,6502,54,11,7484,79,7844,4108,79,15.3,16,6773,52
West Liberty State College,0,1164,91,12,2138,90,4470,2890,33,16.3,10,4249,60
West Virginia Wesleyan College,1,1566,89,28,1509,89,14200,3775,81,16.4,42,8080,67
Western Carolina University,0,3224,78,11,5000,87,6390,2380,78,14.6,9,6554,55
Western Maryland College,1,1205,81,31,1071,91,14510,5340,91,12.5,39,10026,60
Western Michigan University,0,9167,78,24,15739,78,6940,4100,84,24.7,11,5983,55
Western New England College,1,1650,89,7,1803,61,8994,5500,97,15.4,15,8409,59
Western State College of Colorado,0,2702,60,7,2315,94,5918,3755,79,19.4,4,4599,52
Western Washington University,0,5548,64,30,8909,94,8124,4144,89,22.7,10,7203,61
Westfield State College,0,3100,69,3,3234,77,5542,3788,79,15.7,20,4222,65
Westminster College MO,1,662,83,20,665,94,10720,4050,70,12.5,20,7925,62
Westminster College,1,996,86,29,1411,95,12065,3615,78,12.5,41,8596,80
Westminster College of Salt Lake City,1,917,78,21,979,56,8820,4050,83,10.5,34,7170,50
Westmont College,0,950,75,42,1276,99,14320,5304,77,14.9,17,8837,87
Wheaton College IL,1,1432,64,56,2200,97,11480,4200,83,12.7,40,11916,85
Westminster College PA,1,1738,78,21,1335,97,18460,5970,96,13.2,41,22704,71
Wheeling Jesuit College,1,903,83,15,971,76,10500,4545,71,14.1,27,7494,72
Whitman College,1,1861,53,45,1220,96,16670,4900,83,10.5,51,13198,72
Whittier College,1,1681,63,35,1235,97,16249,5699,92,13.6,29,11778,52
Whitworth College,1,1121,82,43,1270,88,12660,4500,80,16.9,20,8328,80
Widener University,1,2139,69,24,2186,50,12350,5370,86,12.6,19,9603,63
Wilkes University,1,1631,87,15,1803,74,11150,5130,92,13.3,24,8543,67
Willamette University,1,1658,80,49,1595,90,14800,4620,94,13.3,37,10779,68
William Jewell College,1,663,82,32,1279,94,10060,2970,80,11.2,19,7885,59
William Woods University,1,469,92,17,851,87,10535,4365,66,12.9,16,7438,52
Williams College,1,4186,29,81,1988,98,19629,5790,99,9.0,64,22014,99
Wilson College,1,167,77,16,199,22,11428,5084,76,8.3,43,10291,67
Wingate College,1,1239,82,10,1207,88,7820,3400,81,13.9,8,7264,91
Winona State University,0,3325,61,20,5800,86,4200,2700,60,20.2,18,5318,58
Winthrop University,0,2320,77,24,3395,83,6400,3392,80,12.8,26,6729,59
Wisconsin Lutheran College,1,152,84,17,282,92,9100,3700,48,8.5,26,8960,50
Wittenberg University,1,1979,87,42,1980,93,15948,4404,95,12.8,29,10414,78
Wofford College,1,1501,62,51,1059,96,12680,4150,92,15.3,42,7875,75
Worcester Polytechnic Institute,1,2768,83,49,2802,97,15884,5370,94,15.2,34,10774,82
Worcester State College,0,2197,68,4,3089,60,6797,3900,60,21.0,14,4469,40
Xavier University,1,1959,92,24,2849,72,11520,4960,75,13.3,31,9189,83
Xavier University of Louisiana,1,2097,91,34,2793,94,6900,4200,75,14.4,20,8323,49
Yale University,1,10705,22,95,5217,98,19840,6510,96,5.8,49,40386,99
York College of Pennsylvania,1,2989,62,28,2988,63,4990,3560,75,18.1,28,4509,99
